location, country, time, temp, pressure, humidity, visibility, wind speed, wind degree, clouds, date
Mladá Boleslav,CZ,1652361809,21.66,1017.0,50.0,10000.0,6.0,299.0,67.0,Thu May 12 15:23:29 CEST 2022
Olomouc,CZ,1652361809,26.22,1016.0,56.0,10000.0,6.59,319.0,13.0,Thu May 12 15:23:29 CEST 2022
Ostrava,CZ,1652361601,26.56,1015.0,34.0,10000.0,7.2,270.0,0.0,Thu May 12 15:23:29 CEST 2022
Pardubice,CZ,1652361532,23.35,1016.0,55.0,10000.0,5.14,300.0,0.0,Thu May 12 15:23:29 CEST 2022
Kladno,CZ,1652363246,22.7,1017.0,43.0,10000.0,7.72,280.0,0.0,Thu May 12 15:51:12 CEST 2022
Mladá Boleslav,CZ,1652363472,22.51,1017.0,54.0,10000.0,4.9,304.0,82.0,Thu May 12 15:51:12 CEST 2022
Olomouc,CZ,1652363417,25.75,1016.0,58.0,10000.0,6.69,318.0,16.0,Thu May 12 15:51:12 CEST 2022
Ostrava,CZ,1652363274,27.22,1015.0,34.0,10000.0,7.2,290.0,0.0,Thu May 12 15:51:12 CEST 2022
Pardubice,CZ,1652363473,23.04,1016.0,45.0,10000.0,3.6,290.0,0.0,Thu May 12 15:51:13 CEST 2022
Kladno,CZ,1652363981,22.75,1017.0,43.0,10000.0,7.72,280.0,0.0,Thu May 12 16:01:51 CEST 2022
Mladá Boleslav,CZ,1652364111,22.52,1017.0,54.0,10000.0,4.9,304.0,82.0,Thu May 12 16:01:51 CEST 2022
Olomouc,CZ,1652364030,24.28,1016.0,58.0,10000.0,6.69,318.0,16.0,Thu May 12 16:01:51 CEST 2022
Ostrava,CZ,1652363850,27.21,1015.0,34.0,10000.0,7.2,290.0,0.0,Thu May 12 16:01:51 CEST 2022
Pardubice,CZ,1652364111,23.4,1016.0,42.0,10000.0,3.6,290.0,0.0,Thu May 12 16:01:51 CEST 2022
56,PH,1652364510,30.95,1009.0,64.0,10000.0,2.06,0.0,20.0,Thu May 12 16:08:30 CEST 2022
